id_campo,estado,fecha_captura,red_mean,red_std,red_min,red_max,green_mean,green_std,green_min,green_max,blue_mean,blue_std,blue_min,blue_max,nir08_mean,nir08_std,nir08_min,nir08_max,swir16_mean,swir16_std,swir16_min,swir16_max,swir22_mean,swir22_std,swir22_min,swir22_max,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,gndvi_mean,gndvi_std,gndvi_min,gndvi_max,ndmi_mean,ndmi_std,ndmi_min,ndmi_max,msi_mean,msi_std,msi_min,msi_max,lat,lon,diff_ndvi,diff_ndmi
Heatwave_Arizona_2,enfermo_estres,2023-07-15,8373.587890625,5665.09716796875,0.0,15034.0,7595.22314453125,5101.4033203125,0.0,13240.0,7064.896484375,4720.556640625,0.0,11769.0,9612.6005859375,6533.21923828125,0.0,18122.0,10003.4228515625,6883.720703125,0.0,20273.0,8712.189453125,5953.51611328125,0.0,16459.0,0.06806089729070663,0.013780094683170319,0.01544215902686119,0.1464049518108368,0.11519622057676315,0.022737884894013405,0.020253995433449745,0.19526149332523346,-0.01781570538878441,0.026532430201768875,-0.09475620836019516,0.086744025349617,1.0377542972564697,0.05476565659046173,0.8403598070144653,1.2093496322631836,33.53970889236747,-112.01287685783579,0.00052021444,-0.010616623
Heatwave_Arizona_3,enfermo_estres,2023-07-15,10387.501953125,5247.0966796875,0.0,65535.0,9530.193359375,4611.22705078125,0.0,22700.0,8899.568359375,4295.43212890625,0.0,19165.0,12202.4892578125,6008.0126953125,0.0,29204.0,11932.064453125,5808.61767578125,0.0,25998.0,10684.0966796875,5174.93994140625,0.0,25656.0,0.07998713105916977,0.05521940067410469,-0.38348516821861267,0.4120379090309143,0.120970718562603,0.04845253750681877,0.003941190429031849,0.3874368965625763,0.01034772489219904,0.034157611429691315,-0.17703203856945038,0.1905066967010498,0.9816944599151611,0.06469493359327316,0.6799569725990295,1.4302282333374023,33.46757674049562,-112.03815914761923,0.003926061,-0.0067266086
Heatwave_Arizona_4,enfermo_estres,2023-07-15,10370.076171875,5387.26611328125,0.0,24880.0,9478.0478515625,4894.21875,0.0,21946.0,8834.29296875,4553.30126953125,0.0,19557.0,11918.4150390625,6252.9775390625,0.0,25403.0,11884.9892578125,6181.0029296875,0.0,25099.0,10729.81640625,5553.830078125,0.0,25656.0,0.06806696951389313,0.054559241980314255,-0.007588590029627085,0.4120379090309143,0.11201605200767517,0.0495791882276535,0.003941190429031849,0.3874368965625763,0.0006669587455689907,0.03646751493215561,-0.17703203856945038,0.1905066967010498,1.0011886358261108,0.06948070228099823,0.6799569725990295,1.4302282333374023,33.46089026728612,-112.03214133281233,-0.0019629076,-0.0051312977
Heatwave_Arizona_5,enfermo_estres,2023-07-15,9083.46484375,5254.29541015625,0.0,21799.0,8591.7900390625,4934.61328125,0.0,18984.0,8049.890625,4614.0751953125,0.0,17186.0,11803.876953125,6742.02685546875,0.0,21943.0,10568.46875,6071.00146484375,0.0,20943.0,9210.955078125,5276.33837890625,0.0,18106.0,0.13128110766410828,0.04077084735035896,0.003292030654847622,0.2767121195793152,0.1577817052602768,0.034654442220926285,0.048980407416820526,0.27154216170310974,0.05578463152050972,0.032904982566833496,-0.03253846988081932,0.18507890403270721,0.8961641788482666,0.05910250544548035,0.6876513361930847,1.0672656297683716,33.50506108785246,-112.0031164199312,0.011854619,-0.0049218833
Heatwave_Arizona_6,enfermo_estres,2023-07-15,10317.6728515625,5250.97216796875,0.0,26127.0,9650.5546875,4859.7275390625,0.0,23613.0,9002.9736328125,4525.2880859375,0.0,21883.0,12922.23828125,6420.857421875,0.0,27388.0,11830.5361328125,5930.46728515625,0.0,26102.0,10197.30859375,5056.3466796875,0.0,19524.0,0.1135147288441658,0.05692101642489433,-0.0018060129368677735,0.29106801748275757,0.14533619582653046,0.05051645264029503,0.011128450743854046,0.3046632409095764,0.044766560196876526,0.04243098571896553,-0.1116078719496727,0.17931672930717468,0.9174252152442932,0.07706353813409805,0.6958972811698914,1.251258134841919,33.484123143242705,-112.02065933165156,0.010434829,-0.0061352924
Heatwave_Arizona_7,enfermo_estres,2023-07-15,10173.12109375,5202.87060546875,0.0,25027.0,9470.75,4786.8095703125,0.0,22357.0,8874.1962890625,4472.30810546875,0.0,20332.0,12252.763671875,6153.16845703125,0.0,26298.0,11509.2734375,5851.28759765625,0.0,25424.0,10254.8583984375,5218.17333984375,0.0,20700.0,0.09393990784883499,0.05505884811282158,-0.008987793698906898,0.2682276666164398,0.1281270682811737,0.04814213141798973,-0.010036854073405266,0.2742597460746765,0.03228595480322838,0.041836563497781754,-0.07684546709060669,0.18451295793056488,0.9405995011329651,0.07796339690685272,0.6884576678276062,1.1664844751358032,33.46918938015837,-111.99127638659559,0.02004736,-0.0010794066
Heatwave_Arizona_8,enfermo_estres,2023-07-15,10300.150390625,5085.48876953125,0.0,17756.0,9498.35546875,4665.861328125,0.0,16858.0,8849.5654296875,4343.5576171875,0.0,14858.0,12399.7646484375,6103.75927734375,0.0,20678.0,11954.736328125,5911.93798828125,0.0,19715.0,10636.888671875,5251.92919921875,0.0,17639.0,0.09253333508968353,0.042842619121074677,0.010195497423410416,0.2747120261192322,0.13202404975891113,0.037468258291482925,0.032013900578022,0.2897934913635254,0.018678728491067886,0.031831540167331696,-0.0894973874092102,0.15867207944393158,0.965204119682312,0.06017281115055084,0.7261139154434204,1.1965889930725098,33.466329896946945,-112.0152412725714,-0.0035220012,-0.0064125406
Heatwave_Arizona_9,enfermo_estres,2023-07-15,10194.4462890625,5118.291015625,0.0,19183.0,9414.078125,4701.96435546875,0.0,17369.0,8621.41796875,4295.7255859375,0.0,15838.0,13305.220703125,6646.06640625,0.0,20667.0,12200.412109375,6141.97900390625,0.0,20380.0,10529.263671875,5307.595703125,0.0,19046.0,0.1325109601020813,0.03822116181254387,0.024463700130581856,0.2656768560409546,0.17088651657104492,0.03418141230940819,0.048009008169174194,0.28452402353286743,0.043958213180303574,0.03912319988012314,-0.10335066169500351,0.1637643575668335,0.9184994697570801,0.07258837670087814,0.7185609936714172,1.230526328086853,33.53202708236141,-111.98461749734255,-0.0071362853,-0.016493313
Heatwave_Arizona_10,enfermo_estres,2023-07-15,8862.6787109375,6708.6669921875,0.0,65535.0,8194.4853515625,5479.1484375,0.0,24607.0,7609.68798828125,5070.99951171875,0.0,22342.0,11554.9560546875,7786.45654296875,0.0,29550.0,10505.3447265625,7052.55029296875,0.0,26320.0,8964.3408203125,5973.896484375,0.0,22817.0,0.13548643887043,0.08701535314321518,-0.4024181365966797,0.36376723647117615,0.1668868511915207,0.07133263349533081,0.013728535734117031,0.358737975358963,0.046748582273721695,0.04524645209312439,-0.13182303309440613,0.16754409670829773,0.914306104183197,0.0842364951968193,0.7129973769187927,1.3036777973175049,33.47217736908047,-111.9800587780972,0.0038332343,-0.00635954
Heatwave_Arizona_11,enfermo_estres,2023-07-15,10038.6416015625,6189.68798828125,0.0,65535.0,9300.3173828125,4949.6572265625,0.0,24607.0,8682.51171875,4594.46142578125,0.0,22342.0,12533.431640625,6591.12158203125,0.0,29550.0,11346.9697265625,5979.263671875,0.0,26320.0,9857.9560546875,5126.0693359375,0.0,22109.0,0.11670045554637909,0.062102410942316055,-0.4024181365966797,0.3361319303512573,0.14827194809913635,0.04696739837527275,0.01850619725883007,0.32695481181144714,0.04985886067152023,0.03749587759375572,-0.08986390382051468,0.20155929028987885,0.9074463844299316,0.06817584484815598,0.664503812789917,1.1974735260009766,33.479120951718976,-111.97869597323178,0.009569839,-0.009516638
